industry_category,stock_id,stock_name,type,date
上櫃ETF,00888,永豐台灣ESG,tpex,2025-11-14
上櫃指數股票型基金(ETF),00888,永豐台灣ESG,tpex,2024-12-31
上櫃指數股票型基金(ETF),00889B,凱基ESG新興債15+,tpex,2022-05-29
上櫃ETF,00890B,凱基ESG BBB債15+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00890B,凱基ESG BBB債15+,tpex,2024-12-31
ETF,00891,中信關鍵半導體,twse,2025-11-15
ETF,00892,富邦台灣半導體,twse,2025-11-15
ETF,00893,國泰智能電動車,twse,2025-11-15
ETF,00894,中信小資高價30,twse,2025-11-15
ETF,00895,富邦未來車,twse,2025-11-15
ETF,00896,中信綠能及電動車,twse,2025-11-15
ETF,00897,富邦基因免疫生技,twse,2025-11-15
ETF,00898,國泰基因免疫革命,twse,2025-11-15
ETF,00899,FT潔淨能源,twse,2025-11-15
ETF,00900,富邦特選高股息30,twse,2025-11-15
ETF,00901,永豐智能車供應鏈,twse,2025-11-15
ETF,00902,中信電池及儲能,twse,2025-11-15
ETF,00903,富邦元宇宙,twse,2025-11-15
ETF,00904,新光臺灣半導體30,twse,2025-11-15
ETF,00905,FT臺灣Smart,twse,2025-11-15
ETF,00906,大華元宇宙科技50,twse,2024-12-05
ETF,00907,永豐優息存股,twse,2025-11-15
ETF,00908,富邦入息REITs+,twse,2025-11-15
ETF,00909,國泰數位支付服務,twse,2025-11-15
ETF,00910,第一金太空衛星,twse,2025-11-15
ETF,00911,兆豐洲際半導體,twse,2025-11-15
ETF,00912,中信臺灣智慧50,twse,2025-11-15
ETF,00913,兆豐台灣晶圓製造,twse,2025-11-15
ETF,00915,凱基優選高股息30,twse,2025-11-15
ETF,00916,國泰全球品牌50,twse,2025-11-15
ETF,00917,中信特選金融,twse,2025-11-15
ETF,00918,大華優利高填息30,twse,2025-11-15
ETF,00919,群益台灣精選高息,twse,2025-11-15
ETF,00920,富邦ESG綠色電力,twse,2025-11-15
ETF,00921,兆豐龍頭等權重,twse,2025-11-15
ETF,00922,國泰台灣領袖50,twse,2025-11-15
ETF,00923,群益台ESG低碳50,twse,2025-11-15
ETF,00924,復華S&P500成長,twse,2025-11-15
ETF,00925,新光標普電動車,twse,2025-06-05
ETF,00926,凱基全球菁英55,twse,2025-11-15
ETF,00927,群益半導體收益,twse,2025-11-15
上櫃ETF,00928,中信上櫃ESG 30,tpex,2025-11-14
上櫃指數股票型基金(ETF),00928,中信上櫃ESG 30,tpex,2024-12-31
ETF,00929,復華台灣科技優息,twse,2025-11-15
ETF,00930,永豐ESG低碳高息,twse,2025-11-15
上櫃ETF,00931B,統一美債20年,tpex,2025-11-14
上櫃指數股票型基金(ETF),00931B,統一美債20年,tpex,2024-12-31
ETF,00932,兆豐永續高息等權,twse,2025-11-15
上櫃ETF,00933B,國泰10Y+金融債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00933B,國泰10Y+金融債,tpex,2024-12-31
ETF,00934,中信成長高股息,twse,2025-11-15
ETF,00935,野村臺灣新科技50,twse,2025-11-15
ETF,00936,台新永續高息中小,twse,2025-11-15
上櫃ETF,00937B,群益ESG投等債20+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00937B,群益ESG投等債20+,tpex,2024-12-31
ETF,00938,凱基優選30,twse,2025-11-15
ETF,00939,統一台灣高息動能,twse,2025-11-15
ETF,00940,元大台灣價值高息,twse,2025-11-15
ETF,00941,中信上游半導體,twse,2025-11-15
上櫃ETF,00942B,台新美A公司債20+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00942B,台新美A公司債20+,tpex,2024-12-31
ETF,00943,兆豐電子高息等權,twse,2025-11-15
